MJD,Altitude,Latitude,Longitude,SPS,Alpha
32319.11806,1.08E+04,1.45E+01,0.083647,115.121583,90
32319.11875,1.08E+04,1.43E+01,359.983775,115.146645,90
32319.11944,1.08E+04,1.41E+01,359.883161,115.17104,90
32319.12014,1.08E+04,1.39E+01,359.781826,115.194775,90
32319.12083,1.08E+04,1.36E+01,359.679788,115.217856,90
32319.12153,1.09E+04,1.34E+01,359.577065,115.240289,90
32319.12222,1.09E+04,1.32E+01,359.473675,115.262081,90
32319.12292,1.09E+04,1.29E+01,359.369637,115.283236,90
32319.12361,1.09E+04,1.27E+01,359.264968,115.30376,90
32319.12431,1.09E+04,1.25E+01,359.159685,115.323659,90
32319.125,1.10E+04,1.22E+01,359.053806,115.342938,90
32319.12569,1.10E+04,1.20E+01,358.947345,115.361602,90
32319.12639,1.10E+04,1.18E+01,358.84032,115.379655,90
32319.12708,1.10E+04,1.16E+01,358.732748,115.397103,90
32319.12778,1.10E+04,1.13E+01,358.624643,115.41395,90
32319.12847,1.10E+04,1.11E+01,358.51602,115.430201,90
32319.12917,1.11E+04,1.09E+01,358.406897,115.445859,90
32319.12986,1.11E+04,1.07E+01,358.297286,115.460929,90
32319.13056,1.11E+04,1.04E+01,358.187204,115.475415,90
32319.13125,1.11E+04,1.02E+01,358.076664,115.48932,90
32319.13194,1.11E+04,1.00E+01,357.965681,115.502649,90
32319.13264,1.11E+04,9.78E+00,357.85427,115.515405,90
32319.13333,1.11E+04,9.56E+00,357.742443,115.527591,90
32319.13403,1.12E+04,9.34E+00,357.630215,115.539211,90
32319.13472,1.12E+04,9.11E+00,357.517599,115.550267,90
32319.13542,1.12E+04,8.89E+00,357.404609,115.560763,90
32319.13611,1.12E+04,8.67E+00,357.291258,115.570702,90
32319.13681,1.12E+04,8.45E+00,357.17756,115.580086,90
32319.1375,1.12E+04,8.23E+00,357.063526,115.588919,90
32319.13819,1.12E+04,8.01E+00,356.949169,115.597202,90
32319.13889,1.12E+04,7.79E+00,356.834503,115.604938,90
32319.13958,1.12E+04,7.57E+00,356.71954,115.612129,90
32319.14028,1.13E+04,7.35E+00,356.604292,115.618778,90
32319.14097,1.13E+04,7.13E+00,356.488771,115.624886,90
32319.14167,1.13E+04,6.92E+00,356.37299,115.630456,90
32319.14236,1.13E+04,6.70E+00,356.25696,115.635489,90
32319.14306,1.13E+04,6.48E+00,356.140693,115.639987,90
32319.14375,1.13E+04,6.26E+00,356.024202,115.643951,90
32319.14444,1.13E+04,6.04E+00,355.907498,115.647384,90
32319.14514,1.13E+04,5.82E+00,355.790593,115.650286,90
32319.14583,1.13E+04,5.61E+00,355.673497,115.652658,90
32319.14653,1.13E+04,5.39E+00,355.556223,115.654503,90
32319.14722,1.13E+04,5.17E+00,355.438782,115.65582,90
32319.14792,1.13E+04,4.95E+00,355.321185,115.656611,90
32319.14861,1.13E+04,4.74E+00,355.203444,115.656877,90
32319.14931,1.13E+04,4.52E+00,355.08557,115.656618,90
32319.15,1.13E+04,4.30E+00,354.967573,115.655835,90
32319.15069,1.13E+04,4.08E+00,354.849465,115.654528,90
32319.15139,1.13E+04,3.87E+00,354.731258,115.652698,90
32319.15208,1.13E+04,3.65E+00,354.612962,115.650345,90
32319.15278,1.13E+04,3.43E+00,354.494587,115.64747,90
32319.15347,1.13E+04,3.21E+00,354.376146,115.644071,90
32319.15417,1.13E+04,3.00E+00,354.257649,115.640151,90
32319.15486,1.13E+04,2.78E+00,354.139107,115.635707,90
32319.15556,1.13E+04,2.56E+00,354.02053,115.63074,90
32319.15625,1.13E+04,2.35E+00,353.901931,115.62525,90
32319.15694,1.13E+04,2.13E+00,353.783319,115.619236,90
32319.15764,1.13E+04,1.91E+00,353.664705,115.612698,90
32319.15833,1.13E+04,1.69E+00,353.546101,115.605634,90
32319.15903,1.13E+04,1.48E+00,353.427517,115.598045,90
32319.15972,1.13E+04,1.26E+00,353.308965,115.589929,90
32319.16042,1.13E+04,1.04E+00,353.190454,115.581285,90
32319.16111,1.13E+04,8.22E-01,353.071997,115.572112,90
32319.16181,1.13E+04,6.04E-01,352.953604,115.56241,90
32319.1625,1.13E+04,3.86E-01,352.835286,115.552176,90
32319.16319,1.13E+04,1.67E-01,352.717054,115.541409,90
32319.16389,1.13E+04,-5.13E-02,352.59892,115.530108,90
32319.16458,1.13E+04,-2.70E-01,352.480894,115.518271,90
32319.16528,1.13E+04,-4.89E-01,352.362988,115.505897,90
32319.16597,1.13E+04,-7.08E-01,352.245212,115.492983,90
